generation,run_0
0,0.004158092627867206
1,0.004158092627867206
2,0.004158092627867206
3,0.004158092627867206
4,0.004158092627867206
5,0.004158092627867206
6,0.004158092627867206
7,0.004158092627867206
8,0.004158092627867206
9,0.004158092627867206
10,0.004158092627867206
11,0.004158092627867206
12,0.004158092627867206
13,0.004158092627867206
14,0.004158092627867206
15,0.004158092627867206
16,0.004158092627867206
17,0.004158092627867206
18,0.004158092627867206
19,0.0012438087466276225
20,0.0012438087466276225
21,0.0012438087466276225
22,0.0012438087466276225
23,0.00018105833736431948
24,0.00018105833736431948
25,0.00018105833736431948
26,0.00018105833736431948
27,0.00018105833736431948
28,0.00018105833736431948
29,8.027896406571665e-05
30,5.015015556647886e-05
31,1.0385386230056941e-05
32,1.0385386230056941e-05
33,1.0385386230056941e-05
34,1.0385386230056941e-05
35,5.4452570979256155e-06
36,5.4452570979256155e-06
37,5.4452570979256155e-06
38,5.4452570979256155e-06
39,5.4452570979256155e-06
40,5.4452570979256155e-06
41,5.4452570979256155e-06
42,2.2820273831988374e-06
43,2.2820273831988374e-06
44,2.239706802788315e-07
45,2.239706802788315e-07
46,2.239706802788315e-07
47,2.239706802788315e-07
48,2.239706802788315e-07
49,2.239706802788315e-07
50,9.530918050227687e-08
51,5.906416544151525e-08
52,5.906416544151525e-08
53,5.906416544151525e-08
54,1.4153878265387845e-08
55,1.4153878265387845e-08
56,1.4153878265387845e-08
57,1.4153878265387845e-08
58,1.4153878265387845e-08
59,1.4153878265387845e-08
60,3.0712037609055366e-09
61,1.1394848932592125e-09
62,1.1394848932592125e-09
63,1.1394848932592125e-09
64,7.815931613818866e-10
65,7.815931613818866e-10
66,7.815931613818866e-10
67,7.815931613818866e-10
68,7.815931613818866e-10
69,7.815931613818866e-10
70,7.815931613818866e-10
71,1.9466924902388175e-10
72,3.1649601012806434e-11
73,3.1649601012806434e-11
74,3.1649601012806434e-11
75,3.1649601012806434e-11
76,1.254850702645289e-12
77,1.254850702645289e-12
78,1.254850702645289e-12
79,1.254850702645289e-12
80,1.254850702645289e-12
81,1.254850702645289e-12
82,1.254850702645289e-12
83,5.145527328699857e-13
84,5.145527328699857e-13
85,5.145527328699857e-13
86,5.145527328699857e-13
87,5.145527328699857e-13
88,5.145527328699857e-13
89,5.145527328699857e-13
90,3.459924337912998e-13
91,1.9152082144847932e-14
92,1.9152082144847932e-14
93,1.2572309273286959e-14
94,1.2572309273286959e-14
95,1.2572309273286959e-14
96,1.2572309273286959e-14
97,1.2572309273286959e-14
98,1.2572309273286959e-14
99,1.2572309273286959e-14
100,3.1473178755865923e-15
101,3.1473178755865923e-15
102,9.74780469530018e-16
103,9.74780469530018e-16
104,9.74780469530018e-16
105,9.74780469530018e-16
106,9.74780469530018e-16
107,9.74780469530018e-16
108,9.74780469530018e-16
109,9.74780469530018e-16
110,7.282002830635804e-17
111,1.1321409784204102e-18
112,1.1321409784204102e-18
113,1.1321409784204102e-18
114,1.1321409784204102e-18
115,1.1321409784204102e-18
116,1.1321409784204102e-18
117,1.1321409784204102e-18
118,1.1321409784204102e-18
119,1.1321409784204102e-18
120,2.575721995405577e-19
121,2.575721995405577e-19
122,2.575721995405577e-19
123,1.687641315830794e-19
124,1.9038690358443413e-20
125,6.803212209644975e-22
126,6.803212209644975e-22
127,6.803212209644975e-22
128,6.803212209644975e-22
129,6.803212209644975e-22
130,6.803212209644975e-22
131,6.803212209644975e-22
132,6.803212209644975e-22
133,6.803212209644975e-22
134,1.0901792912778996e-22
135,3.583772107503551e-23
136,2.7338918469720475e-23
137,2.7338918469720475e-23
138,2.7338918469720475e-23
139,2.7338918469720475e-23
140,2.7338918469720475e-23
141,2.7338918469720475e-23
142,2.7338918469720475e-23
143,2.7338918469720475e-23
144,1.7716446050719212e-23
145,1.8305398178813675e-24
146,6.500326214272106e-25
147,6.500326214272106e-25
148,6.500326214272106e-25
149,6.500326214272106e-25
150,6.500326214272106e-25
151,6.500326214272106e-25
152,1.5993354638269532e-25
153,3.0255491522523023e-27
154,3.0255491522523023e-27
155,3.0255491522523023e-27
156,3.0255491522523023e-27
157,3.0255491522523023e-27
158,3.0255491522523023e-27
159,2.4905087945108134e-27
160,2.4905087945108134e-27
161,7.631859501760009e-28
162,7.631859501760009e-28
163,7.631859501760009e-28
164,7.631859501760009e-28
165,7.631859501760009e-28
166,7.631859501760009e-28
167,6.941704397609024e-28
168,6.941704397609024e-28
169,6.291568578407374e-28
170,5.71030782031049e-29
171,5.71030782031049e-29
172,5.71030782031049e-29
173,5.71030782031049e-29
174,3.875987971812387e-30
175,3.875987971812387e-30
176,3.875987971812387e-30
177,3.875987971812387e-30
178,3.875987971812387e-30
179,3.875987971812387e-30
180,3.875987971812387e-30
181,3.875987971812387e-30
182,3.875987971812387e-30
183,3.2690497869105806e-30
184,3.2690497869105806e-30
185,2.4162389988318718e-30
186,3.031300417306347e-31
187,1.3139836740960514e-31
188,1.3139836740960514e-31
189,9.984923044576918e-32
190,4.882454150925299e-32
191,2.4260430620917722e-32
192,2.4260430620917722e-32
193,1.040023941944385e-32
194,1.040023941944385e-32
195,1.040023941944385e-32
196,1.040023941944385e-32
197,5.0177986676405014e-33
198,5.0177986676405014e-33
199,2.124920471432597e-34
200,2.124920471432597e-34
201,2.124920471432597e-34
202,2.124920471432597e-34
203,2.124920471432597e-34
204,2.124920471432597e-34
205,9.2558941197593e-37
206,9.2558941197593e-37
207,9.2558941197593e-37
208,5.196075579843122e-37
209,1.8055615588804162e-38
210,1.8055615588804162e-38
211,1.1010778704663623e-39
212,2.3804380672170196e-40
213,4.564590277725927e-41
214,4.564590277725927e-41
215,4.564590277725927e-41
216,4.564590277725927e-41
217,4.564590277725927e-41
218,5.883652834823101e-43
219,5.883652834823101e-43
220,5.883652834823101e-43
221,5.883652834823101e-43
222,5.883652834823101e-43
223,5.883652834823101e-43
224,5.883652834823101e-43
225,5.883652834823101e-43
226,5.883652834823101e-43
227,5.883652834823101e-43
228,5.883652834823101e-43
229,5.883652834823101e-43
230,5.883652834823101e-43
231,5.883652834823101e-43
232,1.683547554535978e-43
233,1.683547554535978e-43
234,1.683547554535978e-43
235,1.683547554535978e-43
236,1.683547554535978e-43
237,1.683547554535978e-43
238,1.683547554535978e-43
239,1.683547554535978e-43
240,1.683547554535978e-43
241,1.683547554535978e-43
242,1.683547554535978e-43
243,1.683547554535978e-43
244,1.683547554535978e-43
245,1.683547554535978e-43
246,1.683547554535978e-43
247,1.683547554535978e-43
248,1.683547554535978e-43
249,1.683547554535978e-43
250,1.683547554535978e-43
251,1.683547554535978e-43
252,1.683547554535978e-43
253,1.683547554535978e-43
254,1.683547554535978e-43
255,1.683547554535978e-43
256,1.683547554535978e-43
257,1.683547554535978e-43
258,1.683547554535978e-43
259,1.683547554535978e-43
260,1.683547554535978e-43
261,1.683547554535978e-43
262,1.683547554535978e-43
263,1.683547554535978e-43
264,1.683547554535978e-43
265,1.683547554535978e-43
266,1.683547554535978e-43
267,1.683547554535978e-43
268,1.683547554535978e-43
269,1.683547554535978e-43
270,1.683547554535978e-43
271,1.683547554535978e-43
272,1.683547554535978e-43
273,1.683547554535978e-43
274,1.683547554535978e-43
275,1.683547554535978e-43
276,1.683547554535978e-43
277,1.683547554535978e-43
278,1.683547554535978e-43
279,1.683547554535978e-43
280,1.683547554535978e-43
281,1.683547554535978e-43
282,1.683547554535978e-43
283,1.683547554535978e-43
284,1.683547554535978e-43
285,1.683547554535978e-43
286,1.683547554535978e-43
287,1.683547554535978e-43
288,1.683547554535978e-43
289,1.683547554535978e-43
290,1.683547554535978e-43
291,1.683547554535978e-43
292,1.683547554535978e-43
293,1.683547554535978e-43
294,1.683547554535978e-43
295,1.683547554535978e-43
296,1.683547554535978e-43
297,1.683547554535978e-43
298,1.683547554535978e-43
299,1.683547554535978e-43
300,1.683547554535978e-43
301,1.683547554535978e-43
302,1.683547554535978e-43
303,1.683547554535978e-43
304,1.646936161632244e-44
305,1.646936161632244e-44
306,1.9179657284442872e-45
307,1.9179657284442872e-45
308,1.9179657284442872e-45
309,1.9179657284442872e-45
310,1.9179657284442872e-45
311,1.9179657284442872e-45
312,1.9179657284442872e-45
313,1.9179657284442872e-45
314,1.9179657284442872e-45
315,1.9179657284442872e-45
316,1.9179657284442872e-45
317,1.9179657284442872e-45
318,1.9179657284442872e-45
319,1.9179657284442872e-45
320,1.9179657284442872e-45
321,1.9179657284442872e-45
322,1.9179657284442872e-45
323,1.9179657284442872e-45
324,1.9179657284442872e-45
325,1.9179657284442872e-45
326,1.9179657284442872e-45
327,1.9179657284442872e-45
328,1.9179657284442872e-45
329,1.9179657284442872e-45
330,1.9179657284442872e-45
331,1.9179657284442872e-45
332,1.9179657284442872e-45
333,1.9179657284442872e-45
